"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 20:12:29 UTC 2025","Thu Sep 04 20:12:29 UTC 2025","6","tests.unit.measurement_set._utils._msv2","test_msv4_sub_xdss","","","","test_rename_and_interpolate_to_time_with_syscal_none_time",""
"passed","Thu Sep 04 20:12:26 UTC 2025","Thu Sep 04 20:12:26 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_baselines[ms_empty_required-expected_output0]",""
"passed","Thu Sep 04 20:12:26 UTC 2025","Thu Sep 04 20:12:26 UTC 2025","80","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_load_generic_table_source[ms_minimal_misbehaved-expected_additional_columns1]",""
"passed","Thu Sep 04 20:12:25 UTC 2025","Thu Sep 04 20:12:25 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_find_projected_min_max_array[in_min_max11-in_array11-expected_result11]",""
"passed","Thu Sep 04 20:12:53 UTC 2025","Thu Sep 04 20:12:53 UTC 2025","1","tests.unit.measurement_set","test_measurement_set_xdt","","","","test_sel_invalid",""
"passed","Thu Sep 04 20:12:28 UTC 2025","Thu Sep 04 20:12:28 UTC 2025","27","tests.unit.measurement_set._utils._msv2","test_create_antenna_xds","","","","test_create_antenna_xds_minimal",""
"passed","Thu Sep 04 20:12:48 UTC 2025","Thu Sep 04 20:12:48 UTC 2025","166","tests.unit.measurement_set","test_load_processing_set","TestProcessingSetIterator","","","test_iterator_with_store[Antennae_North.cal.lsrk.split.ms]","Test iterator loading from store"
"passed","Thu Sep 04 20:12:25 UTC 2025","Thu Sep 04 20:12:25 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_convert_casacore_time_to_mjd[times1-expected_result1]",""
"passed","Thu Sep 04 20:12:53 UTC 2025","Thu Sep 04 20:12:53 UTC 2025","8","tests.unit.measurement_set","test_measurement_set_xdt","","","","test_sel_with_data_group",""
"passed","Thu Sep 04 20:12:26 UTC 2025","Thu Sep 04 20:12:26 UTC 2025","3","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_load_generic_table_state",""
"passed","Thu Sep 04 20:12:27 UTC 2025","Thu Sep 04 20:12:27 UTC 2025","2","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_convert_and_write_partition_empty_required",""
"passed","Thu Sep 04 20:12:35 UTC 2025","Thu Sep 04 20:12:36 UTC 2025","113","tests.unit.measurement_set","test_load_processing_set","TestLoadProcessingSet","","","test_basic_load[Antennae_North.cal.lsrk.split.ms]","Test basic loading of processing set without parameters"
