"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that get_combined_antenna_xds raises an exception on empty DataTree","1","test_get_combined_antenna","tests.unit.measurement_set","Tue Jul 08 19:16:00 GMT 2025","passed","Tue Jul 08 19:16:00 GMT 2025","TestProcessingSetXdtErrors","test_processing_set_xdt","",""
"","0","test_time_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_sky_image_tests","test_image","",""
"Test that get_freq_axis raises an exception on empty DataTree","1","test_get_freq_axis_empty","tests.unit.measurement_set","Tue Jul 08 19:16:00 GMT 2025","passed","Tue Jul 08 19:16:00 GMT 2025","TestProcessingSetXdtErrors","test_processing_set_xdt","",""
"","2","test_get_utimes_tol[where DATA_DESC_ID IN [0,1] AND SCAN_NUMBER = 1 AND STATE_ID = 0-expected_output2]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read_main_table","",""
"","1","test_mem_chunksize_to_dict_main[0.01-pseudo_xds3-None-expected_error3]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","2","test_get_utimes_tol[where DATA_DESC_ID IN [0,1] AND SCAN_NUMBER = 1 AND STATE_ID = 1-expected_output7]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read_main_table","",""
"","437","test_convert_and_write_partition_misbehaved","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:17 GMT 2025","passed","Tue Jul 08 19:15:17 GMT 2025","","test_conversion","",""
"","1","test_right_ascension_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_lmuv_image_tests","test_image","",""
"","1","test_extract_table_attributes_ant","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:14 GMT 2025","passed","Tue Jul 08 19:15:14 GMT 2025","","test_read","",""
"","1","test_get_pad_value_uvw","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:14 GMT 2025","passed","Tue Jul 08 19:15:14 GMT 2025","","test_read","",""
"","0","test_check_dict_typ","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","1","test_convert_mjd_time[times1-expected_result1]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","1","test_polarization_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_lmuv_image_tests","test_image","",""
"","0","test_vel_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_aperture_image_tests","test_image","",""
"Test iterator loading from store","249","test_iterator_with_store[Antennae_North.cal.lsrk.split.ms]","tests.unit.measurement_set","Tue Jul 08 19:15:50 GMT 2025","passed","Tue Jul 08 19:15:50 GMT 2025","TestProcessingSetIterator","test_load_processing_set","",""
"","6","test_pad_missing_sources","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_create_field_and_source_xds","",""
"","1","test_add_encoding_with_chunks","tests.unit.measurement_set._utils._zarr","Tue Jul 08 19:15:19 GMT 2025","passed","Tue Jul 08 19:15:19 GMT 2025","","test_encoding","",""
"","44","test_estimate_conversion_memory_and_cores_minimal[ms_minimal_required-partition_scheme1-expected_estimation1]","tests.unit.measurement_set","Tue Jul 08 19:15:19 GMT 2025","passed","Tue Jul 08 19:15:19 GMT 2025","","test_convert_msv2_to_processing_set","",""
"","1","test_table_has_column[ms_minimal_required-WEIGHT_SPECTRUM-False]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","7","test_interpolate_to_time_bogus","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_msv4_sub_xdss","",""
"","141","test_create_partitions_ms_min_with_all","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:19 GMT 2025","passed","Tue Jul 08 19:15:19 GMT 2025","","test_partition_queries","",""
"","0","test_get_baseline_indices[unique_baselines2-baselines2-expected_output2]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_read_main_table","",""
"","1","test_mem_chunksize_to_dict_main_balanced[0.03-dim_sizes2-expected_chunksize2]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","1","test_find_projected_min_max_table[in_min_max1-expected_result1]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","1","test_check_array_constructor_defaults","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","1","test_sel","tests.unit.measurement_set","Tue Jul 08 19:16:00 GMT 2025","passed","Tue Jul 08 19:16:00 GMT 2025","","test_measurement_set_xdt","",""
"Test loading with and without sub-datasets","322","test_sub_datasets[Antennae_North.cal.lsrk.split.ms]","tests.unit.measurement_set","Tue Jul 08 19:15:45 GMT 2025","passed","Tue Jul 08 19:15:46 GMT 2025","TestLoadProcessingSet","test_load_processing_set","",""
"","1","test_parse_chunksize[0.01-main-xds7-None-expected_error7]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","1","test_frequency_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_aperture_image_tests","test_image","",""
"","1","test_check_array_missing_coord","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","1","test_frequency_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_lmuv_image_tests","test_image","",""
"","1","test_mem_chunksize_to_dict_main_balanced[0.001-dim_sizes0-expected_chunksize0]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
